"sex","shoesize"
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Men",42.2776428686962
"Men",42.2776428686962
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Men",42.2776428686962
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Men",42.2776428686962
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
"Women",39.3069361737052
